heuristic,ok,steps,nodes,state
classic_manhattan,True,18,106,"1,2,3,4,5,14,6,8,10,7,0,15,9,12,13,11"
classic_manhattan,True,20,125,"2,3,8,11,1,6,4,7,5,10,0,12,9,13,14,15"
classic_manhattan,True,18,79,"6,1,3,4,10,5,8,0,2,11,7,12,9,13,14,15"
classic_manhattan,True,15,44,"2,3,7,4,1,6,11,8,5,13,12,0,9,14,10,15"
classic_manhattan,True,14,16,"1,2,4,7,9,5,6,3,10,11,15,8,13,14,12,0"
classic_manhattan,True,18,44,"5,1,3,4,9,2,8,0,11,14,7,12,6,13,10,15"
classic_manhattan,True,16,19,"2,3,4,8,1,11,6,12,5,9,7,15,13,10,14,0"
classic_manhattan,True,13,14,"1,2,3,4,0,5,10,6,9,14,12,8,13,11,7,15"
classic_manhattan,True,19,114,"5,0,3,4,2,1,6,8,9,14,7,15,10,13,12,11"
classic_manhattan,True,17,69,"5,0,1,3,9,2,7,4,13,10,6,8,14,15,11,12"
classic_manhattan,True,16,126,"1,2,3,4,6,9,7,8,13,5,0,12,14,15,11,10"
classic_manhattan,True,19,307,"2,3,8,4,1,5,0,11,9,7,6,12,13,10,15,14"
classic_manhattan,True,17,190,"1,2,7,3,5,10,0,4,9,12,6,8,13,15,14,11"
classic_manhattan,True,18,56,"1,2,7,3,5,6,11,0,13,9,14,4,15,10,12,8"
classic_manhattan,True,13,39,"1,2,3,4,5,6,12,7,9,14,15,10,13,11,0,8"
classic_manhattan,True,20,58,"5,1,4,8,9,6,2,11,13,10,0,12,14,15,3,7"
classic_manhattan,True,20,80,"1,3,7,4,2,0,8,12,5,13,6,15,10,9,11,14"
classic_manhattan,True,14,28,"0,1,2,3,9,5,6,4,10,7,11,8,13,14,15,12"
classic_manhattan,True,14,29,"1,7,2,4,5,6,3,11,9,8,0,10,13,14,15,12"
classic_manhattan,True,20,32,"2,4,8,12,1,7,3,10,5,9,0,6,13,14,11,15"
classic_manhattan,True,20,101,"1,2,4,8,9,5,6,3,0,14,15,11,10,13,12,7"
classic_manhattan,True,14,38,"1,2,3,4,5,10,6,8,14,13,0,7,9,11,15,12"
classic_manhattan,True,17,67,"1,2,3,4,9,7,11,8,13,5,12,15,0,10,6,14"
classic_manhattan,True,17,55,"5,4,2,8,3,1,0,7,9,6,11,12,13,10,14,15"
classic_manhattan,True,18,195,"1,2,3,10,5,6,7,0,9,14,8,4,13,11,15,12"
classic_manhattan,True,15,46,"9,1,6,4,0,3,2,8,10,5,7,12,13,14,11,15"
classic_manhattan,True,20,42,"0,1,7,3,6,2,10,4,5,13,9,8,14,15,12,11"
classic_manhattan,True,19,130,"5,6,7,0,3,1,8,4,9,2,10,11,13,14,15,12"
classic_manhattan,True,18,91,"1,2,3,4,6,9,7,8,11,13,12,15,5,10,14,0"
classic_manhattan,True,18,461,"0,1,3,4,5,2,7,8,9,11,14,12,13,10,6,15"
classic_manhattan,True,19,91,"2,3,7,4,1,6,8,12,10,0,9,15,5,13,11,14"
classic_manhattan,True,20,138,"9,1,3,4,6,2,11,7,13,5,14,8,15,0,10,12"
classic_manhattan,True,15,196,"1,2,4,0,5,7,3,11,9,10,6,8,13,14,15,12"
classic_manhattan,True,17,23,"5,1,4,8,6,3,2,11,9,10,7,12,0,13,14,15"
classic_manhattan,True,18,274,"1,6,2,3,5,0,8,4,9,10,12,15,13,14,11,7"
classic_manhattan,True,15,25,"1,2,3,4,5,6,11,7,13,15,14,0,10,9,12,8"
classic_manhattan,True,14,46,"1,2,8,3,5,6,7,4,10,15,0,11,9,13,14,12"
classic_manhattan,True,16,55,"1,6,2,8,5,0,4,7,9,11,12,3,13,10,14,15"
classic_manhattan,True,18,560,"1,2,8,4,5,10,6,7,9,14,3,12,13,0,11,15"
classic_manhattan,True,15,28,"1,2,3,4,5,7,0,8,14,6,13,10,9,15,12,11"
classic_manhattan,True,20,147,"5,1,4,8,3,2,7,6,0,14,10,11,9,13,15,12"
classic_manhattan,True,17,131,"1,2,4,8,6,3,7,11,5,10,12,0,9,13,14,15"
classic_manhattan,True,17,53,"1,4,8,6,5,3,7,2,9,0,10,12,13,14,11,15"
classic_manhattan,True,15,33,"2,5,3,4,1,12,6,8,9,0,7,15,13,10,14,11"
classic_manhattan,True,20,287,"2,5,1,7,6,4,11,3,9,10,0,8,13,14,15,12"
classic_manhattan,True,18,271,"5,1,3,4,10,2,6,7,13,11,0,8,9,14,15,12"
classic_manhattan,True,15,31,"1,2,4,8,9,5,0,3,13,10,6,12,14,11,7,15"
classic_manhattan,True,17,214,"1,2,4,7,9,6,3,8,10,0,5,12,13,14,11,15"
classic_manhattan,True,17,55,"5,1,2,3,6,7,11,4,13,9,15,8,10,14,0,12"
classic_manhattan,True,15,40,"1,2,3,4,0,5,7,8,9,13,14,11,15,6,10,12"
classic_manhattan,True,19,147,"2,6,4,8,1,7,3,14,5,9,11,0,13,10,15,12"
classic_manhattan,True,15,101,"1,2,3,4,9,5,0,7,10,12,6,11,13,14,15,8"
classic_manhattan,True,16,299,"1,2,3,4,5,7,8,12,9,10,0,6,13,11,14,15"
classic_manhattan,True,14,19,"6,5,2,4,1,10,3,8,13,9,7,11,14,0,15,12"
classic_manhattan,True,17,51,"2,3,4,8,0,5,6,12,1,10,11,7,9,13,14,15"
classic_manhattan,True,15,42,"1,0,3,4,5,9,7,8,13,2,10,11,14,6,15,12"
classic_manhattan,True,15,29,"1,6,2,4,9,5,3,8,14,15,7,11,13,10,0,12"
classic_manhattan,True,15,92,"1,2,4,7,5,10,3,8,9,0,6,12,13,11,14,15"
classic_manhattan,True,13,60,"1,2,3,4,10,6,7,8,5,14,9,12,0,13,11,15"
classic_manhattan,True,19,150,"1,2,4,0,5,6,3,11,13,15,8,7,14,10,9,12"
classic_manhattan,True,20,102,"1,3,4,7,5,2,15,10,9,11,14,8,13,6,12,0"
classic_manhattan,True,12,19,"2,6,3,4,1,9,7,8,5,10,15,11,13,14,12,0"
classic_manhattan,True,14,23,"2,3,7,4,1,5,12,0,9,6,8,11,13,10,14,15"
classic_manhattan,True,13,23,"5,0,3,4,9,1,2,8,10,7,6,12,13,14,11,15"
classic_manhattan,True,18,43,"0,5,2,8,6,1,4,12,9,10,3,15,13,14,7,11"
classic_manhattan,True,14,28,"1,7,2,4,6,9,3,0,5,10,12,8,13,14,11,15"
classic_manhattan,True,18,56,"0,5,3,4,2,6,8,12,1,10,7,15,9,13,14,11"
classic_manhattan,True,20,346,"7,6,0,3,1,2,4,8,5,10,11,12,9,13,14,15"
classic_manhattan,True,19,177,"1,2,12,4,5,10,6,8,9,14,3,0,13,11,15,7"
classic_manhattan,True,14,37,"1,3,0,11,6,2,7,4,5,9,10,8,13,14,15,12"
classic_manhattan,True,19,184,"5,8,6,0,2,1,7,3,9,10,11,4,13,14,15,12"
classic_manhattan,True,16,73,"1,2,3,4,5,0,10,11,14,8,6,7,9,13,15,12"
classic_manhattan,True,13,90,"1,2,3,4,5,6,10,7,9,14,8,11,13,15,0,12"
classic_manhattan,True,17,54,"5,0,1,3,9,2,6,4,10,14,7,8,13,11,15,12"
classic_manhattan,True,20,974,"1,3,2,4,7,6,5,8,9,14,10,11,13,0,15,12"
classic_manhattan,True,16,140,"1,2,3,4,5,6,8,11,0,7,10,12,13,9,14,15"
classic_manhattan,True,15,40,"1,3,4,8,5,6,2,7,10,11,12,0,9,13,14,15"
classic_manhattan,True,17,89,"7,2,3,4,1,5,10,8,9,6,15,0,13,14,12,11"
classic_manhattan,True,15,29,"1,3,7,4,6,11,0,8,5,2,14,12,9,10,13,15"
classic_manhattan,True,15,65,"1,2,3,4,5,8,0,15,9,7,6,12,13,10,14,11"
classic_manhattan,True,13,20,"1,6,2,4,10,9,3,8,5,14,7,12,13,11,0,15"
classic_manhattan,True,16,206,"1,2,4,8,5,6,11,3,9,10,0,12,13,7,14,15"
classic_manhattan,True,20,279,"2,6,3,4,13,0,7,8,14,1,10,11,5,9,15,12"
classic_manhattan,True,15,55,"2,6,4,7,1,3,0,5,9,10,11,8,13,14,15,12"
classic_manhattan,True,18,107,"1,2,7,3,5,6,4,8,0,11,15,14,9,13,10,12"
classic_manhattan,True,17,117,"1,3,4,8,6,2,7,11,5,10,14,12,13,9,0,15"
classic_manhattan,True,20,617,"1,2,3,4,9,5,6,0,13,7,12,11,14,10,15,8"
classic_manhattan,True,14,20,"2,10,7,3,1,9,6,4,5,14,11,8,13,0,15,12"
classic_manhattan,True,12,15,"1,6,2,8,5,10,4,3,9,14,7,12,13,0,11,15"
classic_manhattan,True,14,53,"5,1,2,4,9,6,3,7,0,10,11,12,13,14,8,15"
classic_manhattan,True,19,37,"6,5,1,4,10,11,2,7,9,14,3,8,0,13,15,12"
classic_manhattan,True,17,30,"1,6,2,3,10,7,0,4,5,9,14,8,13,11,12,15"
classic_manhattan,True,16,51,"6,2,4,8,1,0,5,12,9,10,3,7,13,14,11,15"
classic_manhattan,True,16,24,"5,1,2,3,6,7,4,0,9,14,10,8,13,15,12,11"
classic_manhattan,True,16,107,"1,2,3,4,5,10,6,7,11,13,8,12,9,14,15,0"
classic_manhattan,True,14,24,"5,1,3,4,10,2,7,8,6,13,15,11,9,0,14,12"
classic_manhattan,True,16,70,"1,8,3,4,5,2,6,11,9,10,15,7,13,14,12,0"
classic_manhattan,True,15,46,"5,1,7,3,0,8,2,4,9,6,11,12,13,10,14,15"
classic_manhattan,True,16,60,"1,2,3,4,13,5,7,8,6,15,14,11,10,0,9,12"
classic_manhattan,True,19,85,"2,6,3,4,5,1,8,12,10,11,14,7,0,9,13,15"
classic_linear,True,18,77,"1,2,3,4,5,14,6,8,10,7,0,15,9,12,13,11"
classic_linear,True,20,114,"2,3,8,11,1,6,4,7,5,10,0,12,9,13,14,15"
classic_linear,True,18,74,"6,1,3,4,10,5,8,0,2,11,7,12,9,13,14,15"
classic_linear,True,15,36,"2,3,7,4,1,6,11,8,5,13,12,0,9,14,10,15"
classic_linear,True,14,16,"1,2,4,7,9,5,6,3,10,11,15,8,13,14,12,0"
classic_linear,True,18,33,"5,1,3,4,9,2,8,0,11,14,7,12,6,13,10,15"
classic_linear,True,16,19,"2,3,4,8,1,11,6,12,5,9,7,15,13,10,14,0"
classic_linear,True,13,14,"1,2,3,4,0,5,10,6,9,14,12,8,13,11,7,15"
classic_linear,True,19,102,"5,0,3,4,2,1,6,8,9,14,7,15,10,13,12,11"
classic_linear,True,17,51,"5,0,1,3,9,2,7,4,13,10,6,8,14,15,11,12"
classic_linear,True,16,100,"1,2,3,4,6,9,7,8,13,5,0,12,14,15,11,10"
classic_linear,True,19,71,"2,3,8,4,1,5,0,11,9,7,6,12,13,10,15,14"
classic_linear,True,17,97,"1,2,7,3,5,10,0,4,9,12,6,8,13,15,14,11"
classic_linear,True,18,41,"1,2,7,3,5,6,11,0,13,9,14,4,15,10,12,8"
classic_linear,True,13,27,"1,2,3,4,5,6,12,7,9,14,15,10,13,11,0,8"
classic_linear,True,20,37,"5,1,4,8,9,6,2,11,13,10,0,12,14,15,3,7"
classic_linear,True,20,53,"1,3,7,4,2,0,8,12,5,13,6,15,10,9,11,14"
classic_linear,True,14,21,"0,1,2,3,9,5,6,4,10,7,11,8,13,14,15,12"
classic_linear,True,14,28,"1,7,2,4,5,6,3,11,9,8,0,10,13,14,15,12"
classic_linear,True,20,22,"2,4,8,12,1,7,3,10,5,9,0,6,13,14,11,15"
classic_linear,True,20,78,"1,2,4,8,9,5,6,3,0,14,15,11,10,13,12,7"
classic_linear,True,14,28,"1,2,3,4,5,10,6,8,14,13,0,7,9,11,15,12"
classic_linear,True,17,25,"1,2,3,4,9,7,11,8,13,5,12,15,0,10,6,14"
classic_linear,True,17,31,"5,4,2,8,3,1,0,7,9,6,11,12,13,10,14,15"
classic_linear,True,18,158,"1,2,3,10,5,6,7,0,9,14,8,4,13,11,15,12"
classic_linear,True,15,46,"9,1,6,4,0,3,2,8,10,5,7,12,13,14,11,15"
classic_linear,True,20,35,"0,1,7,3,6,2,10,4,5,13,9,8,14,15,12,11"
classic_linear,True,19,95,"5,6,7,0,3,1,8,4,9,2,10,11,13,14,15,12"
classic_linear,True,18,58,"1,2,3,4,6,9,7,8,11,13,12,15,5,10,14,0"
classic_linear,True,18,290,"0,1,3,4,5,2,7,8,9,11,14,12,13,10,6,15"
classic_linear,True,19,34,"2,3,7,4,1,6,8,12,10,0,9,15,5,13,11,14"
classic_linear,True,20,69,"9,1,3,4,6,2,11,7,13,5,14,8,15,0,10,12"
classic_linear,True,15,148,"1,2,4,0,5,7,3,11,9,10,6,8,13,14,15,12"
classic_linear,True,17,23,"5,1,4,8,6,3,2,11,9,10,7,12,0,13,14,15"
classic_linear,True,18,201,"1,6,2,3,5,0,8,4,9,10,12,15,13,14,11,7"
classic_linear,True,15,25,"1,2,3,4,5,6,11,7,13,15,14,0,10,9,12,8"
classic_linear,True,14,46,"1,2,8,3,5,6,7,4,10,15,0,11,9,13,14,12"
classic_linear,True,16,55,"1,6,2,8,5,0,4,7,9,11,12,3,13,10,14,15"
classic_linear,True,18,402,"1,2,8,4,5,10,6,7,9,14,3,12,13,0,11,15"
classic_linear,True,15,20,"1,2,3,4,5,7,0,8,14,6,13,10,9,15,12,11"
classic_linear,True,20,72,"5,1,4,8,3,2,7,6,0,14,10,11,9,13,15,12"
classic_linear,True,17,73,"1,2,4,8,6,3,7,11,5,10,12,0,9,13,14,15"
classic_linear,True,17,30,"1,4,8,6,5,3,7,2,9,0,10,12,13,14,11,15"
classic_linear,True,15,31,"2,5,3,4,1,12,6,8,9,0,7,15,13,10,14,11"
classic_linear,True,20,138,"2,5,1,7,6,4,11,3,9,10,0,8,13,14,15,12"
classic_linear,True,18,144,"5,1,3,4,10,2,6,7,13,11,0,8,9,14,15,12"
